Wavelength,Intensity
380,0.003367250841571444
381,0.0
382,0.04468753928942565
383,0.0
384,0.023513876505117118
385,0.03130010480469527
386,0.0
387,0.0
388,0.015530826752892926
389,0.0
390,0.021926333690038078
391,0.0028348400344040954
392,0.023713048098440145
393,0.015270019428527588
394,0.005877273859671679
395,0.0035300863675514324
396,0.005451333544471088
397,0.0
398,0.0
399,0.0026826458579148737
400,0.0
401,0.0
402,0.013697116725978575
403,0.056225840978631494
404,0.003307627148596196
405,0.0028629498503197617
406,0.027591501470113994
407,0.012380806846826608
408,0.0
409,0.004453237663099643
410,0.0
411,0.0
412,0.0
413,0.011639990310322453
414,0.013081392510855747
415,0.013812335339520926
416,0.02138290501555794
417,0.01972921026744802
418,0.036274940273069045
419,0.008555231275465675
420,0.047845773791861446
421,0.0
422,0.0
423,0.0
424,0.016556874401200475
425,0.08370239481017536
426,0.06308522044821818
427,0.08910881782104085
428,0.06040468921957938
429,0.07460972070811249
430,0.13565217726456852
431,0.1316697000350542
432,0.13799598300855814
433,0.1796089055089209
434,0.24698635792642276
435,0.2976746778323208
436,0.32566433710322823
437,0.3603188436822616
438,0.4430177442730975
439,0.4728577698911605
440,0.5578134341065308
441,0.6124018727161887
442,0.6721962792596741
443,0.7136190509666874
444,0.7309465241074371
445,0.7873999326493172
446,0.8319400403357725
447,0.8316480675734845
448,0.8910601590263917
449,0.8724170490799958
450,0.9286504691562586
451,0.8762324877609521
452,0.8836804276775073
453,0.8394738289107166
454,0.8301382802473917
455,0.8074678516686687
456,0.7503220293744398
457,0.7328972103277975
458,0.6294229843110093
459,0.5775344938048383
460,0.5374761566161583
461,0.506973694944774
462,0.4541071705972093
463,0.4043040150292923
464,0.33139863713764095
465,0.2738779036096693
466,0.2506619706106164
467,0.19429593208211793
468,0.1754142036078036
469,0.17284602540032779
470,0.1295608452662547
471,0.11640251407418575
472,0.06529007343690683
473,0.08220135918757894
474,0.05616462349451582
475,0.024779371691839608
476,0.0009828680095629316
477,0.03624622140148206
478,0.0455317282394282
479,0.030801253758016178
480,0.00602275378360219
481,0.0067573963787278275
482,0.020355863006737987
483,0.0
484,0.0
485,0.015588447423645202
486,0.017085943292393213
487,0.004397159922426461
488,0.0
489,0.011127699752490991
490,0.0
491,0.0
492,0.00010180847037147878
493,0.0
494,0.0
495,0.018013934381840048
496,0.007122817086456193
497,0.0
498,0.0
499,0.0026207577998903107
500,0.0
501,0.0
502,0.010604004821309807
503,0.010049048790844596
504,0.028305091728811065
505,0.02357808852337168
506,0.0
507,0.0
508,0.011447694591263578
509,0.007832261095054612
510,0.007809047041810326
511,0.0
512,0.000979960867015065
513,0.02511725494911214
514,0.0
515,0.0
516,0.018087733482966044
517,0.0045671382925472565
518,0.0
519,0.0
520,0.0
521,0.012410559457452985
522,0.0
523,0.023222980054662796
524,0.0035259033653113787
525,0.0
526,0.0
527,0.0
528,0.030546356484931137
529,0.011212034934123222
530,0.0
531,0.0
532,0.00972002725551883
533,0.011568905359511618
534,0.044966515071000746
535,0.015455470700725716
536,0.0
537,0.01686431462131444
538,0.0
539,0.01681686690411544
540,0.009108147388261935
541,0.009126578364190036
542,0.018300836751018217
543,0.0
544,0.0
545,0.0
546,0.007255220009261233
547,0.0266005712133585
548,0.0
549,0.0
550,0.0
551,0.012372281950066575
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.005368901616327196
558,0.006284117771235564
559,0.0
560,0.0026614637115693353
561,0.0
562,0.0
563,0.002964040098850957
564,0.0
565,0.008218360355487134
566,0.0324398346793096
567,0.02655490286170593
568,0.009665434126837257
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.008846489520432018
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0013637606459873768
586,0.0
587,0.016302037667303825
588,0.0
589,0.02976065953761338
590,0.012745897312032685
591,0.02655914302560669
592,0.005737267473757585
593,0.0
594,0.016842924952622955
595,0.0
596,0.0
597,0.003077572366785065
598,0.0
599,0.0
600,0.003650093414309476
601,0.0035467271572415396
602,0.0
603,0.0
604,0.0059113448987818465
605,0.0
606,0.029619499389881083
607,0.007569252056733708
608,0.008674249820470431
609,0.0022501042023995617
610,0.008433290073931577
611,0.0
612,0.010508266569836191
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.020215164878092235
622,0.006811399107741202
623,0.0278021680535917
624,0.0
625,0.0
626,0.009428929397055382
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0041136135861335864
632,0.0
633,0.0003210216351919318
634,0.0
635,0.0052724480158829155
636,0.010156780680565122
637,0.0
638,0.01333502449715204
639,0.0030310360722739073
640,0.0
641,0.0
642,0.036809605866077136
643,0.017860008617072754
644,0.011527989823580807
645,0.0
646,0.0
647,0.0008183426597165571
648,0.03380154059266001
649,0.007527782895379339
650,0.002744974762251753
651,0.007851422832344059
652,0.0
653,0.0
654,0.007147569223129714
655,0.03011478274531645
656,0.014989802689629975
657,0.0008393581339310442
658,0.004091481199250735
659,0.0
660,0.0
661,0.0
662,0.01961573292543488
663,0.018030857568542228
664,0.007297959310291038
665,0.0
666,0.0
667,0.0
668,0.0
669,0.026795015513735823
670,1.8849141771272485e-05
671,0.0
672,0.0
673,0.0
674,0.020176468460069732
675,0.005198718931386577
676,0.02384488953131412
677,0.0
678,0.031448276986270535
679,0.041270109100592305
680,0.0
681,0.00856077512493859
682,0.0
683,0.0
684,0.0
685,0.000197175660837355
686,0.023727298159250065
687,0.010854648113039218
688,0.008979502395489631
689,0.00533298750451202
690,0.0072638296777737124
691,0.0
692,0.0
693,0.013939763820005176
694,0.0
695,0.0
696,0.015516447347661283
697,0.01590956686270451
698,0.0
699,0.0
700,0.0
701,0.004334643206286753
702,0.012070806846697727
703,0.0
704,0.0
705,0.010987545140591571
706,0.019822768703164108
707,0.016644571404540964
708,0.010811854175293656
709,0.013260885730475345
710,0.0007869868991981398
711,0.003940291365205986
712,0.0015593772863148902
713,0.0
714,0.0
715,0.00631934691652951
716,0.02672470293755057
717,0.02155768759902326
718,0.020247365851505637
719,0.0
720,0.0
721,0.0
722,0.018681279569923534
723,0.0020326405761203065
724,0.012276510917299874
725,0.0
726,0.018851316954026396
727,0.026408917539982438
728,0.01175510270066904
729,0.0
730,0.01639116350930465
731,0.0
732,0.0
733,0.0033570505703194344
734,0.0
735,0.012919321245060787
736,0.014987881091453752
737,0.01571758501143227
738,0.0
739,0.00021165815935320632
740,0.0
741,0.0
742,0.0
743,0.03363637908078178
744,0.018682167954567827
745,0.011568770509460334
746,0.0010528237277397095
747,0.009282281787332881
748,0.0
749,0.013058393297982444
750,0.0
751,0.0
752,0.01057176573262175
753,0.02730741731644141
754,0.0
755,0.0
756,0.0
757,0.013744571080376654
758,0.0
759,0.012309888893642429
760,0.003040842927082272
761,0.00011982075467903536
762,0.0
763,0.0
764,0.03833155602593582
765,0.0
766,0.0
767,0.01856984281488889
768,0.0
769,0.0
770,0.0002373583089847943
771,0.0
772,0.031041487796084583
773,0.019199152347106813
774,0.0
775,0.0
776,0.004461776447314719
777,0.0
778,0.0
779,0.004828248088833771
780,0.005252949079665121
781,0.0
782,0.0
783,0.0
784,0.016931359384717827
785,5.094729330025278e-05
786,0.0
787,0.008234738656952708
788,0.014717291364912786
789,0.0
790,0.010429066692990327
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.011894592753363763
797,0.007946443021852092
798,0.0
799,0.0
800,0.024074748712348316
801,0.0
802,0.012947677867563347
803,0.0
804,0.0
805,0.0016945247631534306
806,0.0
807,0.008729180557905745
808,0.012063651672092602
809,0.0
810,0.012926068046771702
811,0.03316594306221927
812,0.036622036835430694
813,0.008558520675674194
814,0.0
815,0.0
816,0.0
817,0.03631522588644719
818,0.0031572860607872594
819,0.002086116941031706
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0006504461356927938
825,0.003734893801784599
826,0.0
827,0.019786743980228023
828,0.020885794132243167
829,0.015344252112898206
830,0.0
831,0.020360287934984907
832,0.0
833,0.0
834,0.011225879648588623
835,0.013186755527574022
836,0.008760031846526867
837,0.02599081488675051
838,0.0
839,0.0026241880261131645
840,0.0026273524799436004
841,0.004389239938588609
842,0.0070880836580948965
843,0.0017340015383587168
844,0.023354924450239664
845,0.012165527468569729
846,0.00688046934339737
847,0.0044548434495544085
848,0.0
849,0.012995910212701247
850,0.021024679830996477
851,0.0
852,0.010361444524427303
853,0.019204788739459508
854,0.003618969304106237
855,0.01678892263233252
856,0.0
857,0.0
858,0.0
859,0.012523312943065643
860,0.0
861,0.011221372769225213
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.03824661206480684
868,0.007864040335304242
869,0.0
870,0.0
871,0.009956239725565209
872,0.04991500532009373
873,0.023937977833917067
874,0.01454380150871874
875,0.0
876,0.0017255172486744074
877,0.0
878,0.015595439497367736
879,0.0
880,0.0
881,0.024815693534242633
882,0.0
883,0.0
884,0.001837321385702281
885,0.015977087062453817
886,0.0
887,0.0
888,0.0
889,0.018278464093996114
890,0.0
891,0.01035627274451923
892,0.0
893,0.0
894,0.0
895,0.0
896,0.002377949900456671
897,0.0070028614982929225
898,0.0
899,0.0
900,0.013034474614782238
901,0.0
902,0.0
903,0.006360945972711635
904,0.01917577247547289
905,0.0
906,0.0
907,0.0
908,0.0
909,0.005193179980435826
910,0.0
911,0.0
912,0.004855736421735563
913,0.014978157187536046
914,0.0
915,0.0
916,0.009699606916576958
917,0.0
918,0.03831482894073851
919,0.02180330332026097
920,0.0
921,0.0
922,0.0
923,0.0
924,0.026701224323708868
925,0.0
926,0.003792380090231856
927,0.004571331223318085
928,0.0
929,0.01890020457524191
930,0.0
931,0.010839579920835247
932,0.0
933,0.019278963504253618
934,0.022290964433272574
935,0.006529386876544699
936,0.006503954379648962
937,0.008898113448605499
938,0.0
939,0.0
940,0.00965384442998835
941,0.008929775992990248
942,0.007689189787125902
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.030638808346912128
950,0.0
951,0.0
952,0.0
953,0.0
954,0.017892827326407228
955,0.0
956,0.0
957,0.0
958,0.03478858901036433
959,0.016431121648700205
960,0.0
961,0.0
962,0.005701527048964388
963,0.0
964,0.0008704111180073557
965,0.009511683013182582
966,0.0
967,0.0
968,0.0
969,0.0
970,0.00947073324231551
971,0.0
972,0.025419921437631974
973,0.0
974,0.005198177734208378
975,0.006842243068582803
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.03920146465613555
982,0.0
983,0.0
984,0.01915247890159545
985,0.009779640595684206
986,0.013992370199057627
987,0.0
988,0.0017442791001504303
989,0.0
990,0.0
991,0.0
992,0.001514412849812059
993,0.017919215471647838
994,0.014581443303715427
995,0.018435861418802706
996,0.0
