Wavelength,Intensity
380,0.6044668767466471
381,0.6049129418299655
382,0.6003417924982853
383,0.5961593718972747
384,0.5786003215574649
385,0.5832631419187454
386,0.5607894563190545
387,0.565151300884836
388,0.542505114254459
389,0.5426332043626284
390,0.5437975210308166
391,0.5144313732967255
392,0.5066932609345991
393,0.4873774005881795
394,0.4518977660298936
395,0.4611661942265088
396,0.43612782561112046
397,0.4182589553818433
398,0.3968860242527653
399,0.36901000016004454
400,0.3739406353389196
401,0.3360265252605456
402,0.32632033449930964
403,0.3245124036608592
404,0.29214654007642055
405,0.2806073870381781
406,0.2744715330655982
407,0.24041185974575668
408,0.23983834894249753
409,0.24916430631748576
410,0.21026421004959855
411,0.1676517247693575
412,0.16188819000136476
413,0.1597155268189585
414,0.14945825120191256
415,0.15826905487523488
416,0.12622331659761427
417,0.07944607224352616
418,0.09985868379856302
419,0.09778183437548267
420,0.09222067444482307
421,0.07484261718698992
422,0.0623817401542633
423,0.06715482817357676
424,0.07655321382449734
425,0.03354141634236079
426,0.04924523396935322
427,0.028838819567695982
428,0.016384033333824308
429,0.04739626899647984
430,0.04026132730100039
431,0.04880984764107847
432,0.0019963554461920226
433,0.007413349616495951
434,0.0
435,0.027297609322935526
436,0.0372429820602551
437,0.02384757705511773
438,0.010340703824720836
439,0.008145703103530567
440,0.006353663313740924
441,0.0
442,0.016083650757930924
443,0.0
444,0.02469010062422646
445,0.005357013867353114
446,0.015821756059985412
447,0.00031787231570602867
448,0.008628365626319249
449,0.008643331362757052
450,0.0065354334314224015
451,0.0
452,0.0
453,0.0
454,0.0
455,0.010368499401753528
456,0.014285022013127244
457,0.0
458,0.018828815650471863
459,0.017540631716635037
460,0.002668934380989538
461,0.0
462,0.0
463,0.013994877327017428
464,0.0
465,0.008172181969693453
466,0.0023066061039124226
467,0.0
468,0.0
469,0.0062128668716346265
470,0.0071311596521862605
471,0.014365798137185384
472,0.01801476389244814
473,0.0
474,0.007043565928198053
475,0.0
476,0.0
477,0.0
478,0.008040745374320766
479,0.0029899948599200745
480,0.0
481,0.0
482,0.0
483,0.005194760097023119
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0023893303636667827
491,0.0
492,0.0
493,0.0037029826436160876
494,0.0
495,0.0
496,0.0
497,0.0014032966396359812
498,0.0
499,0.01608323964960083
500,0.013955817391766028
501,0.004823985080829552
502,0.0
503,0.0175190183689302
504,0.0
505,0.017691629592089225
506,0.015474193069062383
507,0.0
508,0.0
509,0.012492524696995137
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0015774424670702363
515,0.0010021556679093997
516,0.002173087735651362
517,0.008694899714414414
518,0.0
519,0.0
520,0.0
521,0.0
522,0.013839587938139882
523,0.0
524,0.014190929471172604
525,0.0
526,0.0036434352575360554
527,0.0069821907949492975
528,0.012591113267044023
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0020297797127639037
534,0.0012805637700699956
535,0.0
536,0.007004995377480345
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0016429074436272373
543,0.0153033909186345
544,0.000403831316023286
545,0.006665401311807481
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0035508855116318295
553,0.0
554,0.0
555,0.0
556,0.007301508234132103
557,0.0
558,0.0
559,0.0
560,0.004870452694616617
561,0.0022706101957536955
562,0.026159644120295887
563,0.0
564,0.004195295321711192
565,0.0
566,0.0030766774351615725
567,0.0
568,0.0
569,0.0060518488545244125
570,0.0
571,0.011175593429665634
572,0.00603089994732472
573,0.0
574,0.0
575,0.01023607953176262
576,0.011514844699640975
577,0.017763931705221923
578,0.002772026556054514
579,0.0007074168308381585
580,0.0
581,0.007447790259076488
582,0.0
583,0.014432065149693285
584,0.001130715633550781
585,0.009859492445905524
586,0.011980022610698606
587,0.0
588,0.0
589,0.015000011575173881
590,0.0
591,0.02599166526633524
592,0.0
593,0.012473171687205457
594,0.0
595,0.0
596,0.008645930013988477
597,0.0
598,0.0
599,0.0
600,0.027424988782811268
601,0.013649628629439123
602,0.007676675977638
603,0.014501255469793474
604,0.02162522515124675
605,0.0
606,0.01251269566154096
607,0.011176265733414835
608,0.01080878562755818
609,0.0
610,0.01939252007868576
611,0.00567371218357448
612,0.0
613,0.009495869748664777
614,0.0
615,0.0
616,0.0037367246432034166
617,0.0
618,0.0
619,0.0
620,0.010749258934714238
621,0.009316383453481401
622,0.01750583113987513
623,0.0
624,0.005964629262554971
625,0.0
626,0.011426785220934045
627,0.0
628,0.0
629,0.012078582483005336
630,0.010361147824978722
631,0.0
632,0.023079944701168222
633,0.0
634,0.004239220212387109
635,0.028617405984300466
636,0.007768873328860099
637,0.0
638,0.0
639,0.0070733419486277965
640,0.017065259256066966
641,0.011498004068719066
642,0.022390966355670516
643,0.0
644,0.015099646257810292
645,0.004993371626110001
646,0.005223955544480136
647,0.004756953442493001
648,0.0
649,0.0
650,0.0
651,0.020244429165222257
652,0.0
653,0.0006852135795608981
654,0.0
655,0.0
656,0.0269399790070526
657,0.002067365542932746
658,0.0022657375435909217
659,0.0
660,0.008140048903816874
661,0.0
662,0.0008003601354843894
663,0.009098284270830792
664,0.0
665,0.0
666,0.026745012979536777
667,0.0074619425975286785
668,0.0
669,0.0
670,0.008948975127257222
671,0.0
672,0.02832871925712526
673,0.004260013915971284
674,0.0060308614006909286
675,0.0
676,0.012898734238197216
677,0.008109133234839186
678,0.01214937219495174
679,0.0
680,0.0
681,0.004135221590380718
682,0.0005668844816091315
683,0.010170174685830428
684,0.020163854330634175
