Wavelength,Intensity
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,9.796383592543836e-05
386,0.0
387,0.0
388,0.009870604068553767
389,0.003736361136266398
390,0.0
391,0.0
392,0.013103826098930417
393,0.0
394,0.006441924704617727
395,0.0
396,0.008661543873167756
397,0.020607254185754122
398,0.0
399,0.00716539655345634
400,0.0
401,0.011945904333661092
402,0.0
403,0.0
404,0.0026218898817586137
405,0.008870853900823183
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.004928110232647951
415,0.0
416,0.0122325470520226
417,0.00756477973247637
418,0.019350172388197757
419,0.0
420,0.0
421,0.007586973756005193
422,0.0
423,0.011641236545512742
424,0.0
425,0.004319116810431121
426,0.01383718932379059
427,0.006604473039933902
428,0.0
429,0.028139396263970988
430,0.0
431,0.0
432,0.0
433,0.0
434,0.011346099764016706
435,0.0
436,0.006904213354525343
437,0.0
438,0.0002722179474510071
439,0.0
440,0.006135148962377152
441,0.017779255788770952
442,0.016568260696788784
443,0.0
444,0.0
445,0.0
446,0.00288103077923024
447,0.0
448,0.0
449,0.0
450,0.0
451,0.026183366240366164
452,0.0
453,0.0
454,0.03723332254460468
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.03243388886940057
462,0.0
463,0.002683460594653546
464,0.0
465,0.0
466,0.019886652407862457
467,0.0
468,0.0
469,0.014716063997233273
470,0.0
471,0.00760552326509675
472,0.003131959385051755
473,0.0
474,0.0033184464442062678
475,0.0
476,0.0
477,0.0007820591931772188
478,0.014911831876554127
479,0.013003045147850948
480,0.018729515673117404
481,0.003161293038612043
482,0.007684080054939429
483,0.031112775457464013
484,0.013130923412850942
485,0.0
486,0.010570618795065479
487,0.0
488,0.0
489,0.0
490,0.0
491,0.01412491007654608
492,0.007028975234671389
493,0.0
494,0.01874035804501326
495,0.0
496,0.012191752744197756
497,0.0
498,0.005789735782448316
499,0.0
500,0.0
501,0.0
502,0.0
503,0.00554577655569857
504,0.0
505,0.004235632714870678
506,0.0
507,0.009455141888872745
508,0.011650397483614168
509,0.01617090804893584
510,0.00848020600674731
511,0.020477820656992943
512,0.0
513,0.018503316711368237
514,0.0
515,0.0
516,0.0
517,0.02100331423637288
518,0.021642460492825547
519,0.011387951836729419
520,0.015250714396268125
521,0.0
522,0.007138235386127756
523,0.0
524,0.0041077181901064365
525,0.0
526,0.0
527,0.0
528,0.011859180256075273
529,0.0
530,0.0
531,0.0
532,0.014304358737873998
533,0.0
534,0.0
535,0.0142265415181381
536,0.01302778024835645
537,0.0
538,0.0
539,0.026681143729536467
540,0.019791375604106664
541,0.008891454931256735
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0024673435142617776
547,0.019466884369499015
